"","SYMBOL","ENTREZID"
"1","TOMM40","10452"
"2","APOE","348"
"3","NECTIN2","5819"
"4","APOC1","341"
"5","BCAM","4059"
"6","BIN1","274"
"7","NIFKP9","106480805"
"8","IL6R","3570"
"9","BCL3","602"
"10","CLPTM1","1209"
"11","RNU6-560P","106480590"
"12","LINC02695","107984426"
"13","CR1","1378"
"14","CLU","1191"
"15","MMP12","4321"
"16","MMP3","4314"
"17","CEACAM16-AS1","107985305"
"18","MS4A4A","51338"
"19","NKPD1","284353"
"20","MARK4","57787"
"21","ABCA7","10347"
"22","TREM2","54209"
"23","PMS2P1","5379"
"24","APH1B","83464"
"25","CBLC","23624"
"26","APOC1P1","342"
"27","RN7SL217P","106479301"
"28","CAMKV","79012"
"29","BLOC1S3","388552"
"30","EXOC3L2","90332"
"31","PTK2B","2185"
"32","LINC01239","441389"
"33","SUMO2P2","100859924"
"34","RHOA","387"
"35","CD2AP","23607"
"36","RELB","5971"
"37","SORL1","6653"
"38","DAG1","1605"
"39","CASS4","57091"
"40","SLC24A4","123041"
"41","EIF4EBP2P3","100190924"
"42","MIR2113","100302164"
"43","GRN","2896"
"44","BSN","8927"
"45","PPP1R37","284352"
"46","HLA-DRB1","3123"
"47","HLA-DQA1","3117"
"48","CYB561","1534"
"49","PPIAP55","342541"
"50","TSPAN14","81619"
"51","RBM5","10181"
"52","ECHDC3","79746"
"53","USP6NL-AS1","107984208"
"54","PICALM","8301"
"55","ACKR2","1238"
"56","CYP8B1","1582"
"57","INPP5D","3635"
"58","CLASRP","11129"
"59","LINC01104","150577"
"60","AFF3","3899"
"61","LINC02498","102723525"
"62","MIR572","693157"
"63","PVR","5817"
"64","UNC5CL","222643"
"65","LRFN2","57497"
"66","RASGEF1C","255426"
"67","SHARPIN","81858"
"68","LINC02705","105369319"
"69","MS4A2","2206"
"70","CDK2AP1","8099"
"71","MTRFR","91574"
"72","PITPNM2","57605"
"73","FERMT2","10979"
"74","NEGR1","257194"
"75","MIR4280HG","117751736"
"76","LINC02059","100505878"
"77","IP6K1","9807"
"78","GMPPB","29925"
"79","RNA5SP30","100873362"
"80","PCDH17","27253"
"81","GEMIN7-AS1","105372419"
"82","PILRA","29992"
"83","MINDY2","54629"
"84","SNORD3P1","6068"
"85","FAM157C","100996541"
"86","ACE","1636"
"87","CEACAM22P","388550"
"88","MGMT","4255"
"89","LINC00461",NA
"90","EPHA1-AS1","285965"
"91","ABI3","51225"
"92","SPI1","6688"
"93","ZCWPW1","55063"
"94","ABCB9","23457"
"95","ARL6IP4","51329"
"96","PLCG2","5336"
"97","CCRL2","9034"
"98","OARD1","221443"
"99","RBBP4P4","727842"
"100","GAPDHP15","642317"
"101","NCK2","8440"
"102","DOC2A","8448"
"103","LINC01553","283025"
"104","ANK3","288"
"105","ZNF594-DT","100130950"
"106","SCIMP","388325"
"107","SPATC1","375686"
"108","ADAMTS4","9507"
"109","MS4A6A","64231"
"110","WNT3","7473"
"111","CEACAM20","125931"
"112","APP","351"
"113","HNF4G","3174"
"114","RNU2-54P","106481651"
"115","ELOVL7","79993"
"116","TSPOAP1-AS1","100506779"
"117","MS4A6E","245802"
"118","KMT5A","387893"
"119","NDUFAF2","91942"
"120","ERCC8","1161"
"121","CMIP","80790"
"122","IDUA","3425"
"123","APOC4","346"
"124","BCL11A","53335"
"125","ARHGAP15","55843"
"126","IP6K2","51447"
"127","ARMH3","79591"
"128","IGSF23","147710"
"129","LRRN2","10446"
"130","MEF2C-AS1","101929423"
"131","MEF2C","4208"
"132","ZSWIM6","57688"
"133","MME","4311"
"134","IKZF4","64375"
"135","BCKDK","10295"
"136","LINC02268","101928509"
"137","ELOVL3","83401"
"138","PITX3","5309"
"139","SLC16A9","220963"
"140","MRPL50P4","359751"
"141","LILRB2","10288"
"142","RNU6-1307P","106481593"
"143","TMEM106B","54664"
"144","MAML3","55534"
"145","BARHL2","343472"
"146","LINC02609","105378853"
"147","BLNK","29760"
"148","WDR81","124997"
"149","CNN2","1265"
"150","SMARCA2","6595"
"151","RNA5SP279","100873532"
"152","SNX1","6642"
"153","FRMD4A; FRMD4A; FRMD4A",NA
"154","GAB2","9846"
"155","HLA-DRB9","3132"
"156","HLA-DRA","3122"
"157","LEF1-AS1","641518"
"158","UMAD1","729852"
"159","MTHFD1L","25902"
"160","CHRNE","1145"
"161","C17orf107","100130311"
"162","ADAMTS1","9510"
"163","CYYR1","116159"
"164","ATF7IP","55729"
"165","ADAM10","102"
"166","SMARCE1P4","642879"
"167","LINC01605","100507420"
"168","CELF4","56853"
"169","MIR4318","100422857"
"170","SEC61G-DT","100996654"
"171","EGFR","1956"
"172","RNU6-869P","106480616"
"173","LINC00861","100130231"
"174","EPHA1","2041"
"175","MTCO3P1","404026"
"176","HLA-DQB3","3121"
"177","CR1; CR1",NA
"178","ARHGAP45","23526"
"179","CEP170","9859"
"180","MIR1302-7","100302147"
"181","C8orf90","122455339"
"182","ST3GAL3-AS1","101929592"
"183","ST3GAL3","6487"
"184","B3GNTL1P2","106480419"
"185","CD2AP-DT","118732299"
"186","PSD","5662"
"187","IGHV3-65","28413"
"188","IGHV3-64","28414"
"189","TET2","54790"
"190","IL34","146433"
"191","SEMA6D","80031"
"192","RBFOX1","54715"
"193","GPR141","353345"
"194","NME8","51314"
"195","KLF16","83855"
"196","RN7SL423P","106479378"
"197","TANK-AS1","105373719"
"198","OGA","10724"
"199","ATP5F1C","509"
"200","CLU; CLU; CLU",NA
"201","DIO2","1734"
"202","DIO2-AS1","100628307"
"203","PRICKLE1","144165"
"204","LINC02361","100996246"
"205","NOC4L","79050"
"206","GABRA2","2555"
"207","ATP8B4","79895"
"208","TEAD1","7003"
"209","MIR142HG","123466215"
"210","PRKD3","23683"
"211","RHOH","399"
"212","MYO15A","51168"
"213","LINC02057","105378992"
"214","BRWD1P2","100287505"
"215","RNU6-148P","106479631"
"216","TMC5","79838"
"217","RAC1P2","442775"
"218","RNU6-412P","106481308"
"219","PTPRF","5792"
"220","LAMB2","3913"
"221","CST6","1474"
"222","CATSPER1","117144"
"223","ABCA1","19"
"224","CNTNAP2","26047"
"225","NDUFAF6","137682"
"226","ANKH","56172"
"227","SEMA3F","6405"
"228","MIR129-2","406918"
"229","HSD17B12","51144"
"230","HDAC2-AS2","101927768"
"231","HS3ST5","222537"
"232","TPCN1","53373"
"233","SYNPR","132204"
"234","SYNPR-AS1","100874016"
"235","CTSB","1508"
"236","LINC02254","101927286"
"237","REL-DT","400957"
"238","MIOS-DT","101927391"
"239","CHRNA2","1135"
"240","RBM23","55147"
"241","EFL1","79631"
"242","GDI2P1","2667"
"243","LINC02838","105375273"
"244","RPLP0P5","643779"
"245","RPL7AP81","122965333"
"246","DENND3","22898"
"247","LINC02699","105376596"
"248","ANO3","63982"
"249","SYNJ1","8867"
"250","PLEKHA1","59338"
"251","SLC2A4RG","56731"
"252","MRC1","4360"
"253","GLIS3","169792"
"254","MIR378C","100422867"
"255","Y_RNA",NA
"256","TREML2","79865"
"257","TBC1D9","23158"
"258","RN7SL152P","106480962"
"259","DENND4A","10260"
"260","CTSH","1512"
"261","LINC02325","101929241"
"262","PHB1","5245"
"263","ZNF652-AS1","102724596"
"264","ARIH2","10425"
"265","RN7SL167P","106480966"
"266","SNX19","399979"
"267","LINC01957","101927059"
"268","TRIM36","55521"
"269","TSBP1-AS1","101929163"
"270","MTMR2","8898"
"271","CSTP2","1481"
"272","CST1","1469"
"273","CR1L","1379"
"274","STK24","8428"
"275","FARP1","10160"
"276","OSTN","344901"
"277","GMNC","647309"
"278","SIGLEC11","114132"
"279","PDE4B","5142"
"280","SCARB2","950"
"281","FAM47E","100129583"
"282","HLA-DRB5","3127"
"283","DAB1","1600"
"284","CD33","945"
"285","SIGLEC22P","114195"
"286","ARL17B","100506084"
"287","RPS29P6","100270903"
"288","RNA5SP43","100873282"
"289","ARPC3P2","391160"
"290","LINC00467","84791"
"291","PFDN1","5201"
"292","HBEGF","1839"
"293","SNORA70","26778"
"294","RN7SL734P","106479490"
"295","MAPT","4137"
"296","ICA1","3382"
"297","LINC01117","102724224"
"298","NKAIN3","286183"
"299","SDR42E2","100288072"
"300","SORT1","6272"
"301","KIR3DL2","3812"
"302","TRAPPC6A","79090"
"303","RPL6P17","100131229"
"304","RNU6-793P","106479917"
"305","TNIP1","10318"
"306","KLC3","147700"
"307","RNU7-149P","106479080"
"308","NDUFS5P4","100287817"
"309","JAZF1","221895"
"310","DPP4","1803"
"311","LINC02326","105370425"
"312","RNU11-5P","106479563"
"313","APOC4-APOC2","100533990"
"314","ZNF232","7775"
"315","ZNF232-AS1","101928000"
"316","PLPPR5-AS1","100129620"
"317","LINC00917","732275"
"318","FENDRR","400550"
"319","HESX1","8820"
"320","IL17RD","54756"
"321","PHF14","9678"
"322","GEMIN7","79760"
"323","SPPL2A","84888"
"324","RN7SL354P","106481838"
"325","AGAP1","116987"
"326","WDR12","55759"
"327","ATXN2L","11273"
"328","CELF1","10658"
"329","CST8","10047"
"330","CST13P","164380"
"331","TMEM132C","92293"
"332","NPC1","4864"
