riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs186542490-A	8.00E-06	(liability model)	0.006	-	0.6 unit increase	[0.35-0.85]	MEI4,IRAK1BP1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1310749:58:00	27770636	Mez J
rs186076999-T	7.00E-06	(liability model)	0.006	-	0.62 unit increase	[0.35-0.89]	MLLT3,SLC24A2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	333568:03:00	27770636	Mez J
rs141521929-T	4.00E-06	(liability model)	0.005	-	0.62 unit increase	[0.37-0.87]	TUSC1,RN7SKP120	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	427838:10:00	27770636	Mez J
rs73865608-A	1.00E-06	(liability model)	0.004	-	0.63 unit increase	[0.38-0.88]	LINC02273,RNA5SP169	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2534066:20:00	27770636	Mez J
rs184614511-T	6.00E-06	(liability model)	0.005	-	0.64 unit increase	[0.37-0.91]	KSR2	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1964373:16:00	27770636	Mez J
rs193129245-A	1.00E-06	(liability model)	0.005	-	0.67 unit increase	[0.4-0.94]	SPTLC1P2,RNU6-1060P	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	388649:49:00	27770636	Mez J
rs150061627-T	5.00E-06	(liability model)	0.004	-	0.68 unit increase	[0.39-0.97]	MDGA2,MIR548Y	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	795638:41:00	27770636	Mez J
rs190457471-A	5.00E-06	(liability model)	0.004	-	0.68 unit increase	[0.39-0.97]	OSER1-DT,GDAP1L1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	737239:41:00	27770636	Mez J
rs141387448-T	4.00E-06	(liability model)	0.005	-	0.68 unit increase	[0.39-0.97]	LINC02664,ZNF438	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	518601:06:00	27770636	Mez J
rs117760708-T	3.00E-06	(liability model)	0.004	-	0.73 unit increase	[0.42-1.04]	JPH3	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1460910:22:00	27770636	Mez J
rs187423924-A	4.00E-06	(liability model)	0.004	-	0.74 unit increase	[0.43-1.05]	AQP4-AS1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	445615:25:00	27770636	Mez J
rs181634374-T	8.00E-06	(liability model)	0.003	-	0.77 unit increase	[0.44-1.1]	RNU4-69P,RPL23AP44	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	2026062:02:00	27770636	Mez J
rs145228677-C	7.00E-06	(liability model)	0.004	-	0.79 unit increase	[0.44-1.14]	RPS18P12,HS3ST3B1	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	244045:08:00	27770636	Mez J
rs188699384-A	5.00E-06	(liability model)	0.003	-	0.79 unit increase	[0.46-1.12]	MIR924HG	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	660336:14:00	27770636	Mez J
rs148003968-A	5.00E-06	(liability model)	0.003	-	0.81 unit increase	[0.46-1.16]	TFEB	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	694949:29:00	27770636	Mez J
rs185867524-A	5.00E-06	(liability model)	0.004	-	0.86 unit increase	[0.49-1.23]	DNAH6	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	1409966:12:00	27770636	Mez J
rs117756856-A	9.00E-06	(liability model)	0.003	-	0.89 unit increase	[0.5-1.28]	HDAC9	Late-onset Alzheimer's disease	late-onset Alzheimers disease	-	GCST003815	303547:52:00	27770636	Mez J
